5.0	267237.2151	105076.43628540836
10.0	3.1336665248407642e6	235067.56999073876
15.0	1.5359594264797509e7	842428.3418037378
20.0	4.636725330841122e7	346421.63772123214
25.0	1.411596515277778e8	2.600932938663836e7
30.0	3.260661876875e8	4.8043187882771455e7
35.0	6.824698485e8	5.261808319835942e7
40.0	1.234496618e9	8.567005785398164e7
45.0	2.370371264e9	9.436217872899634e7
50.0	4.0988909495e9	7.950453169981498e7
55.0	7.259821848e9	NaN
60.0	1.1950429516e10	NaN
65.0	2.02211374e10	NaN
70.0	3.2115107265e10	NaN
75.0	4.9164857552e10	NaN
80.0	7.3422194344e10	NaN
85.0	1.07531697742e11	NaN
90.0	1.53128451757e11	NaN
95.0	2.09352395181e11	NaN
100.0	2.79390420731e11	NaN
