5.0	438683.5623	216876.8740580513
10.0	3.121496079567155e6	704348.039524465
15.0	1.4185354256484149e7	1.9697695681936468e6
20.0	3.694895317164179e7	5.175179534999333e6
25.0	8.9698557875e7	1.229365997461715e7
30.0	2.050475532e8	5.5356163813683674e7
35.0	3.761910087692308e8	6.013397440640374e7
40.0	6.30988183e8	1.4658687750317398e8
45.0	1.240424894e9	2.0585795190219498e8
50.0	2.030690817e9	3.758566782538545e8
55.0	3.460320323e9	1.3414276814151496e8
60.0	4.860357667e9	1.184999443215552e9
65.0	7.843665638333333e9	1.3444651945639148e9
70.0	1.0996926527892857e10	1.816562689195842e9
75.0	1.5423728860904762e10	2.705037371971031e9
80.0	1.9770376770058823e10	3.847768229749065e9
85.0	2.691067418823077e10	6.624340242174818e9
90.0	3.54076267734e10	8.251287898509011e9
95.0	4.9545757428375e10	8.440608887501922e9
100.0	5.796464617771429e10	1.2038303682257442e10
