5.0	663188.1219910241	367796.0561227711
10.0	3.3149933081044876e6	877380.3532607447
15.0	1.5247832590214068e7	2.329702970024747e6
20.0	7.560631e7	1.0936922932869682e7
25.0	2.00912114e8	4.164963824796211e7
30.0	3.4342724573333335e8	5.192068283856219e7
35.0	4.99716956e8	9.208501484479214e7
40.0	7.161354744285715e8	1.1635870762618908e8
45.0	1.1721937352e9	2.4475156958723474e8
50.0	1.63521783025e9	2.7770528294771504e8
55.0	2.6391580715e9	6.00837820826831e8
60.0	2.709384584e9	3.1905266078968847e8
65.0	4.078112035490196e9	6.907422836840873e8
70.0	5.895373056083333e9	1.225578194343727e9
75.0	7.465144620034483e9	1.2303395169438586e9
80.0	8.765498708333334e9	1.7436098566638668e9
85.0	1.1467509733210526e10	2.355006859988843e9
90.0	1.43080786660625e10	3.2355350371649833e9
95.0	2.0275108185363636e10	6.264482547628189e9
100.0	2.35220030254e10	5.455548980607716e9
